[2026-08-25T22:31:54.678Z] GET http://localhost:3000/_next/static/chunks/node_modules_04pgpr-._.js → 200 (226ms, ?B)
[2026-08-25T22:31:54.725Z] GET http://localhost:3000/fonts/inter/InterVariable.woff2 → 304 (45ms, ?B)
[2026-08-25T22:31:54.725Z] GET http://localhost:3000/fonts/saans/SaansVF.ttf → 304 (63ms, ?B)
[2026-08-25T22:31:54.894Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (18ms, ?B)
[2026-08-25T22:32:08.612Z] GET http://localhost:3000/contact → 200 (128ms, 11862B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/src_app_globals_162hn9o.css → 200 (4ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/icon.svg → 304 (6ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (31ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (42ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (34ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (33ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (33ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (42ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (34ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (43ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (42ms, ?B)
